src,flags,runs,times,median_time,compile_cmd,timestamp,program,runtime
pointer_chase.cpp,-Ofast,7,"[0.252878, 0.238779, 0.236751, 0.264587, 0.269258, 0.272869]",0.25873250000000003,g++ pointer_chase.cpp -o a.out -Ofast,2025-11-12T14:01:24.337310Z,pointer_chase,0.25873250000000003
pointer_chase.cpp,-Os,7,"[0.270661, 0.25344, 0.268773, 0.272739, 0.265376, 0.279495, 0.265722]",0.268773,g++ pointer_chase.cpp -o a.out -Os,2025-11-12T14:01:34.850941Z,pointer_chase,0.268773
pointer_chase.cpp,-funroll-loops,7,"[0.332808, 0.276888, 0.274063, 0.274407, 0.277365, 0.280877, 0.289478]",0.277365,g++ pointer_chase.cpp -o a.out -funroll-loops,2025-11-12T14:02:03.003984Z,pointer_chase,0.277365
pointer_chase.cpp,-ftree-vectorize,7,"[0.371497, 0.389423, 0.396, 0.322165, 0.303384, 0.312351, 0.327739]",0.327739,g++ pointer_chase.cpp -o a.out -ftree-vectorize,2025-11-12T14:02:31.557508Z,pointer_chase,0.327739
pointer_chase.cpp,-march=native,7,"[0.323559, 0.307957, 0.294208, 0.304455, 0.310675, 0.359061, 0.303951]",0.307957,g++ pointer_chase.cpp -o a.out -march=native,2025-11-12T14:04:31.444705Z,pointer_chase,0.307957
pointer_chase.cpp,-flto,7,"[0.30346, 0.289155, 0.267482, 0.303183, 0.272468, 0.279796, 0.291023]",0.289155,g++ pointer_chase.cpp -o a.out -flto,2025-11-12T14:05:03.684364Z,pointer_chase,0.289155
pointer_chase.cpp,-fomit-frame-pointer,7,"[0.289694, 0.274779, 0.29658, 0.26166, 0.276475, 0.28999, 0.264442]",0.276475,g++ pointer_chase.cpp -o a.out -fomit-frame-pointer,2025-11-12T14:05:26.207778Z,pointer_chase,0.276475
pointer_chase.cpp,-O1 -funroll-loops,7,"[0.250512, 0.24388, 0.242598, 0.24664, 0.24581, 0.3681, 0.348525]",0.24664,g++ pointer_chase.cpp -o a.out -O1 -funroll-loops,2025-11-12T14:05:55.295526Z,pointer_chase,0.24664
pointer_chase.cpp,-O1 -ftree-vectorize,7,"[0.253245, 0.258078, 0.251645, 0.242972, 0.252685, 0.258163, 0.252074]",0.252685,g++ pointer_chase.cpp -o a.out -O1 -ftree-vectorize,2025-11-12T14:06:12.822843Z,pointer_chase,0.252685
pointer_chase.cpp,-O1 -ffast-math,7,"[0.276169, 0.262072, 0.27806, 0.272486, 0.2864, 0.270071]",0.2743275,g++ pointer_chase.cpp -o a.out -O1 -ffast-math,2025-11-12T14:06:26.987885Z,pointer_chase,0.2743275
pointer_chase.cpp,-O2 -funroll-loops,7,"[0.256945, 0.23841, 0.330166, 0.230651, 0.217531, 0.224449, 0.208418]",0.230651,g++ pointer_chase.cpp -o a.out -O2 -funroll-loops,2025-11-12T14:07:05.681682Z,pointer_chase,0.230651
pointer_chase.cpp,-O2 -ftree-vectorize,7,"[0.237433, 0.2358, 0.226808, 0.258493, 0.278594, 0.260284, 0.216031]",0.237433,g++ pointer_chase.cpp -o a.out -O2 -ftree-vectorize,2025-11-12T14:07:17.237066Z,pointer_chase,0.237433
pointer_chase.cpp,-O2 -ffast-math,7,"[0.286663, 0.27128, 0.264444, 0.28281, 0.319604, 0.248014, 0.284279]",0.28281,g++ pointer_chase.cpp -o a.out -O2 -ffast-math,2025-11-12T14:07:47.812127Z,pointer_chase,0.28281
pointer_chase.cpp,-O3 -funroll-loops,7,"[0.325396, 0.323217, 0.321575, 0.318776, 0.324302, 0.310285, 0.312534]",0.321575,g++ pointer_chase.cpp -o a.out -O3 -funroll-loops,2025-11-12T14:08:07.907912Z,pointer_chase,0.321575
pointer_chase.cpp,-O3 -ftree-vectorize,7,"[0.327739, 0.308325, 0.333554, 0.315735, 0.319354, 0.29863, 0.308597]",0.315735,g++ pointer_chase.cpp -o a.out -O3 -ftree-vectorize,2025-11-12T14:08:20.766903Z,pointer_chase,0.315735
pointer_chase.cpp,-O3 -ffast-math,7,"[0.320682, 0.310562, 0.330137, 0.310287, 0.34657, 0.323571, 0.323398]",0.323398,g++ pointer_chase.cpp -o a.out -O3 -ffast-math,2025-11-12T14:08:31.642664Z,pointer_chase,0.323398
string_parse.cpp,-O1,7,"[0.103318, 0.117099, 0.13599, 0.0936536, 0.103074, 0.105991, 0.100867]",0.103318,g++ string_parse.cpp -o a.out -O1,2025-11-12T14:24:47.390556Z,string_parse,0.103318
string_parse.cpp,-O2,7,"[0.0978383, 0.101235, 0.113732, 0.0930517, 0.0929613, 0.096022, 0.102142]",0.0978383,g++ string_parse.cpp -o a.out -O2,2025-11-12T14:24:49.965619Z,string_parse,0.0978383
string_parse.cpp,-O3,7,"[0.124536, 0.0928617, 0.100422, 0.0923394, 0.0931094, 0.0964795, 0.0931085]",0.0931094,g++ string_parse.cpp -o a.out -O3,2025-11-12T14:24:52.423946Z,string_parse,0.0931094
string_parse.cpp,-Ofast,7,"[0.100685, 0.0918297, 0.094842, 0.0930497, 0.09265, 0.0922329, 0.0949029]",0.0930497,g++ string_parse.cpp -o a.out -Ofast,2025-11-12T14:24:54.816556Z,string_parse,0.0930497
string_parse.cpp,-Os,7,"[0.124483, 0.124801, 0.184253, 0.126676, 0.116009, 0.128921, 0.126579]",0.126579,g++ string_parse.cpp -o a.out -Os,2025-11-12T14:24:55.598933Z,string_parse,0.126579
